               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.017497,           0.0056235,           0.0021071,             0.99035,             0.99274,             0.99378,             0.87327,            0.012319,           0.0022606,          0.00026461,            0.005446,            0.005446,            0.005446
                  48,            0.017513,            0.005639,           0.0021537,             0.99091,             0.99262,              0.9938,             0.87434,            0.012278,           0.0022543,          0.00025967,            0.005347,            0.005347,            0.005347
                  49,            0.017487,           0.0056124,            0.002113,             0.99081,             0.99285,             0.99383,             0.87436,            0.012237,           0.0022488,          0.00025292,            0.005248,            0.005248,            0.005248
                  50,            0.017334,           0.0055924,           0.0020344,             0.99135,             0.99299,             0.99386,             0.87495,              0.0122,           0.0022433,          0.00024611,            0.005149,            0.005149,            0.005149
                  51,            0.017192,           0.0055505,           0.0020001,             0.99173,             0.99273,              0.9939,             0.87528,            0.012149,           0.0022363,          0.00023866,             0.00505,             0.00505,             0.00505
                  52,            0.017171,             0.00552,           0.0019833,             0.99147,             0.99272,             0.99392,             0.87578,            0.012107,           0.0022302,          0.00023182,            0.004951,            0.004951,            0.004951
                  53,            0.017022,           0.0054711,           0.0019203,             0.99136,             0.99293,             0.99396,             0.87617,            0.012057,           0.0022231,          0.00022754,            0.004852,            0.004852,            0.004852
                  54,            0.016947,           0.0055268,           0.0019264,             0.99166,             0.99304,             0.99399,             0.87742,            0.012025,           0.0022165,          0.00022455,            0.004753,            0.004753,            0.004753
                  55,            0.016894,           0.0054878,           0.0019143,             0.99158,             0.99299,             0.99402,             0.87825,            0.011981,           0.0022105,          0.00022122,            0.004654,            0.004654,            0.004654
                  56,            0.016789,           0.0054489,           0.0018412,             0.99193,             0.99282,             0.99404,             0.87885,            0.011938,           0.0022051,          0.00021744,            0.004555,            0.004555,            0.004555
                  57,             0.01666,           0.0054219,            0.001779,             0.99175,             0.99321,             0.99407,             0.87964,            0.011895,           0.0021981,           0.0002192,            0.004456,            0.004456,            0.004456
                  58,            0.016553,           0.0053764,           0.0018216,             0.99211,             0.99257,              0.9941,              0.8803,            0.011853,           0.0021922,          0.00021355,            0.004357,            0.004357,            0.004357
                  59,            0.016492,           0.0053495,           0.0016892,             0.99223,             0.99275,             0.99413,             0.88101,            0.011809,           0.0021857,          0.00020496,            0.004258,            0.004258,            0.004258
                  60,             0.01635,           0.0053271,           0.0016957,             0.99113,             0.99404,             0.99414,             0.88155,            0.011768,            0.002179,          0.00019898,            0.004159,            0.004159,            0.004159
                  61,            0.016287,           0.0053184,           0.0016262,             0.99085,             0.99419,             0.99417,             0.88164,            0.011731,            0.002174,           0.0001947,             0.00406,             0.00406,             0.00406
                  62,            0.016176,           0.0052956,           0.0016439,              0.9908,             0.99419,             0.99421,             0.88198,            0.011698,           0.0021675,          0.00019076,            0.003961,            0.003961,            0.003961
                  63,            0.016045,           0.0052376,           0.0015541,             0.99131,             0.99414,             0.99422,              0.8828,            0.011654,           0.0021607,          0.00018478,            0.003862,            0.003862,            0.003862
                  64,            0.016042,           0.0052591,           0.0016308,             0.99089,             0.99395,             0.99424,             0.88353,             0.01161,           0.0021553,          0.00017843,            0.003763,            0.003763,            0.003763
                  65,            0.015989,           0.0052475,           0.0015915,             0.99132,             0.99394,             0.99426,             0.88368,            0.011569,            0.002149,          0.00016991,            0.003664,            0.003664,            0.003664
                  66,            0.015792,           0.0052033,           0.0014789,             0.99302,             0.99242,             0.99427,             0.88416,            0.011524,           0.0021422,          0.00016335,            0.003565,            0.003565,            0.003565
                  67,            0.015725,           0.0051601,           0.0015294,             0.99221,              0.9934,             0.99428,               0.885,            0.011477,           0.0021366,          0.00015849,            0.003466,            0.003466,            0.003466
